,City,Country,Lat,Lng,Temperature (F),Humidity,Cloudiness,Wind Speed (mph)
0,chuy,uy,-33.6971,-53.4616,73.26,56,0,12.46
1,new norfolk,au,-42.7826,147.0587,44.8,55,62,1.99
2,hithadhoo,mv,-0.6,73.0833,80.83,64,0,3.09
3,dillon,us,34.4166,-79.3712,53.87,35,1,19.57
4,saldanha,za,-33.0117,17.9442,69.8,68,0,9.22
5,albany,au,-35.0169,117.8917,62.6,88,0,10.36
6,punta arenas,cl,-53.15,-70.9167,57.09,62,40,13.8
7,port augusta,au,-32.5,137.7667,55.53,82,75,12.66
8,port-gentil,ga,-0.7193,8.7815,80.6,89,40,11.5
9,santa maria,cv,16.6,-22.9,71.6,64,100,18.41
10,atuona,pf,-9.8,-139.0333,78.64,74,63,20.0
11,upernavik,gl,72.7868,-56.1549,14.77,94,76,6.6
12,kapaa,us,22.0752,-159.319,66.65,82,75,17.27
13,poum,nc,-20.2333,164.0167,81.64,83,97,14.5
14,tanete,id,-3.9443,119.7848,75.43,88,100,7.36
15,houma,us,29.5958,-90.7195,62.1,33,1,8.05
16,georgetown,sh,-7.9333,-14.4167,78.8,69,20,16.11
17,wuhu,cn,31.3366,118.3755,28.4,74,0,4.47
18,barrow,us,71.2906,-156.7887,-2.2,78,90,20.71
19,cherskiy,ru,68.75,161.3,-41.82,81,61,2.28
20,rikitea,pf,-23.1203,-134.9692,78.55,73,42,12.48
21,saint-philippe,re,-21.3585,55.7679,77.31,78,20,3.44
22,hualmay,pe,-11.0964,-77.6139,75.25,69,99,9.93
23,cabo san lucas,mx,22.8909,-109.9124,76.28,38,1,3.44
24,kutum,sd,14.2,24.6667,59.92,31,0,12.88
25,cidreira,br,-30.1811,-50.2056,75.49,63,29,12.77
26,naron,es,43.5167,-8.1528,51.98,80,0,2.37
27,hami,cn,42.8,93.45,15.24,76,51,3.31
28,victoria,sc,-4.6167,55.45,82.4,78,75,13.8
29,lazaro cardenas,mx,17.9583,-102.2,85.23,51,0,7.07
30,sao filipe,cv,14.8961,-24.4956,74.8,63,100,8.3
31,port alfred,za,-33.5906,26.891,69.01,89,51,5.99
32,bluff,nz,-46.6,168.3333,48.99,85,100,1.99
33,merauke,id,-8.4667,140.3333,76.89,93,75,5.46
34,east london,za,-33.0153,27.9116,71.6,73,75,11.5
35,pevek,ru,69.7008,170.3133,-31.68,85,66,5.3
36,cairns,au,-16.9167,145.7667,74.59,94,100,1.7
37,iqaluit,ca,63.7506,-68.5145,5.0,85,90,5.75
38,arraial do cabo,br,-22.9661,-42.0278,87.8,48,0,23.02
39,busselton,au,-33.65,115.3333,65.39,67,0,7.29
40,atikokan,ca,48.7555,-91.6216,8.87,94,100,7.23
41,makakilo city,us,21.3469,-158.0858,69.24,83,20,8.05
42,vallenar,cl,-28.5708,-70.7581,85.98,27,0,11.12
43,nikolskoye,ru,59.7035,30.7861,23.0,86,40,4.47
44,butaritari,ki,3.0707,172.7902,80.35,81,79,17.74
45,ponta do sol,pt,32.6667,-17.1,53.24,61,64,1.99
46,iglesias,it,39.3114,8.535,49.98,81,20,3.44
47,vidim,ru,56.4088,103.1106,14.16,95,100,11.72
48,aksu,cn,41.1231,80.2644,17.2,87,100,2.19
49,villa carlos paz,ar,-31.4241,-64.4978,85.98,43,0,7.0
50,koutsouras,gr,35.0339,25.9469,46.0,79,100,14.29
51,kallidaikurichchi,in,8.6667,77.4833,78.8,78,40,3.8
52,chengde,cn,40.9725,117.9361,5.65,81,14,1.63
53,ushuaia,ar,-54.8,-68.3,51.8,66,75,11.5
54,san vito dei normanni,it,40.6573,17.7072,39.72,56,40,10.36
55,dikson,ru,73.5069,80.5464,-19.97,83,2,19.17
56,hamilton,bm,32.2915,-64.778,69.22,83,90,25.32
57,roros,no,62.5747,11.3842,-13.0,77,0,2.3
58,jamestown,sh,-15.9387,-5.7168,68.05,87,0,13.51
59,hermanus,za,-34.4187,19.2345,70.0,75,0,3.0
60,sendafa,et,9.15,39.0333,51.42,55,69,6.85
61,yellowknife,ca,62.456,-114.3525,5.0,85,90,4.61
62,teahupoo,pf,-17.8333,-149.2667,84.99,62,40,3.44
63,namatanai,pg,-3.6667,152.4333,79.63,79,87,5.75
64,new iberia,us,30.0035,-91.8187,62.6,29,1,6.91
65,keti bandar,pk,24.1447,67.4497,66.02,25,0,13.4
66,vardo,no,70.3705,31.1107,32.0,74,40,21.85
67,mount isa,au,-20.7333,139.5,82.4,34,0,8.05
68,puerto ayora,ec,-0.7393,-90.3518,78.13,100,75,9.22
69,shizunai,jp,42.3339,142.3669,23.25,96,100,13.29
70,havelock,us,34.8791,-76.9013,54.48,38,20,18.41
71,villaviciosa,es,43.4813,-5.4357,51.12,73,25,4.47
72,coquimbo,cl,-29.9533,-71.3436,64.4,72,20,13.8
73,necochea,ar,-38.5473,-58.7368,87.01,40,0,5.66
74,mandan,us,46.8267,-100.8896,26.53,100,90,19.57
75,mandalgovi,mn,45.7625,106.2708,5.83,89,97,2.57
76,khatanga,ru,71.9667,102.5,-31.31,81,0,14.47
77,geraldton,au,-28.7667,114.6,78.8,61,90,1.14
78,te anau,nz,-45.4167,167.7167,50.45,91,100,4.23
79,provideniya,ru,64.3833,-173.3,-10.35,86,98,6.98
80,mehamn,no,71.0357,27.8492,33.8,64,40,24.16
81,paamiut,gl,61.994,-49.6678,28.33,81,100,5.39
82,chiredzi,zw,-21.05,31.6667,70.29,98,100,3.94
83,adrar,dz,25.75,-1.0,55.36,35,0,9.1
84,ostrovnoy,ru,68.0531,39.5131,23.52,96,81,14.5
85,yulara,au,-25.2406,130.9889,66.2,27,0,4.61
86,korla,cn,41.7597,86.1469,17.47,82,97,2.37
87,chincha alta,pe,-13.4099,-76.1323,72.28,78,0,9.22
88,ribeira grande,pt,38.5167,-28.7,62.6,88,75,23.02
89,tazovskiy,ru,67.4667,78.7,-16.55,89,95,8.9
90,isla mujeres,mx,21.2311,-86.731,76.53,65,75,9.22
91,gordeyevka,ru,52.9569,31.9703,3.42,93,100,2.13
92,hilo,us,19.7297,-155.09,69.06,78,90,4.61
93,kodiak,us,57.79,-152.4072,41.0,87,90,4.61
94,saint george,bm,32.3817,-64.6781,69.33,83,90,25.32
95,san andres,co,12.5847,-81.7006,84.2,70,20,13.8
96,san luis,ar,-33.295,-66.3356,87.58,17,0,5.3
97,jardim,br,-21.4803,-56.1381,72.48,96,100,2.93
98,qaanaaq,gl,77.484,-69.3632,3.15,81,100,5.99
99,thompson,ca,55.7435,-97.8558,-7.6,84,75,3.27
100,inirida,co,3.8653,-67.9239,84.63,77,53,2.57
101,ulaanbaatar,mn,47.9077,106.8832,-13.0,77,36,2.24
102,huarmey,pe,-10.0681,-78.1522,76.15,67,40,11.43
103,kampot,kh,10.6167,104.1833,73.4,60,0,1.14
104,vaini,to,-21.2,-175.2,82.4,83,20,9.22
105,barabai,id,-2.5833,115.3833,74.48,92,100,2.26
106,rapid valley,us,44.0625,-103.1463,34.59,75,90,35.68
107,klaksvik,fo,62.2266,-6.589,33.8,100,40,6.76
108,lumphat,kh,13.4878,106.9816,61.9,66,97,7.7
109,letterkenny,ie,54.95,-7.7333,42.8,100,90,6.91
110,batemans bay,au,-35.7167,150.1833,56.75,66,27,4.0
111,lebu,cl,-37.6167,-73.65,63.37,71,0,23.13
112,norman wells,ca,65.282,-126.8329,-5.8,84,20,4.61
113,port lincoln,au,-34.7333,135.8667,59.41,79,76,11.77
114,naze,jp,28.3667,129.4833,51.76,75,7,15.48
115,saint-augustin,ca,51.226,-58.6502,31.53,97,100,18.5
116,camacha,pt,33.0833,-16.3333,59.0,67,40,3.44
117,torbay,ca,47.6666,-52.7314,40.08,81,75,12.66
118,cape town,za,-33.9258,18.4232,69.12,73,0,14.97
119,hailar,cn,49.2,119.7,-18.08,83,90,7.4
120,svetlogorsk,ru,54.9399,20.1548,18.66,73,75,6.71
121,mandurah,au,-32.55,115.7,79.0,46,2,6.6
122,ahipara,nz,-35.1667,173.1667,66.47,85,17,9.15
123,groton,us,41.3501,-72.0784,43.99,61,75,14.97
124,kaveripattinam,in,12.4207,78.2166,65.41,90,31,1.79
125,aloleng,ph,16.1307,119.7824,76.03,70,100,8.66
126,clyde river,ca,70.4692,-68.5914,3.2,78,75,6.91
127,tumaco,co,1.7986,-78.8156,74.59,94,100,5.48
128,banjar,id,-8.19,114.9675,77.0,94,75,2.3
129,barcelona,ph,8.1592,126.4342,75.45,84,100,5.46
130,oshikango,na,-17.4,15.8833,71.2,71,100,6.17
131,fukue,jp,32.6881,128.8419,42.91,66,1,22.82
132,castro,cl,-42.4721,-73.7732,71.6,64,40,8.05
133,chake chake,tz,-5.2459,39.7666,79.48,81,100,11.68
134,luderitz,na,-26.6481,15.1594,66.56,82,0,12.59
135,guerrero negro,mx,27.9769,-114.0611,73.2,28,0,5.12
136,jiangyou,cn,31.7667,104.7167,36.52,79,0,1.88
137,port elizabeth,za,-33.918,25.5701,69.8,78,0,16.11
138,benghazi,ly,32.1167,20.0667,60.3,65,79,22.32
139,touros,br,-5.1989,-35.4608,84.2,61,40,16.11
140,banda aceh,id,5.5577,95.3222,77.38,78,91,9.4
141,hobart,au,-42.8794,147.3294,48.51,50,75,11.5
142,zhezkazgan,kz,47.8043,67.7144,15.26,93,100,7.96
143,avarua,ck,-21.2078,-159.775,82.4,78,20,4.61
144,laguna,br,-28.4825,-48.7808,73.09,77,100,11.41
145,tomatlan,mx,19.9333,-105.25,88.41,31,8,7.7
146,caravelas,br,-17.7125,-39.2481,82.65,63,0,8.63
147,russell,nz,-35.2613,174.1236,64.0,92,47,5.01
148,serenje,zm,-13.2325,30.2352,66.13,93,100,1.99
149,grand baie,mu,-20.0182,57.5802,80.01,88,100,3.0
150,koster,za,-25.863,26.8976,72.14,46,69,4.79
151,pisco,pe,-13.7,-76.2167,72.19,78,0,9.22
152,alindao,cf,5.0267,21.2088,77.36,22,2,1.59
153,handan,cn,36.6006,114.4678,29.26,76,0,12.1
154,kahului,us,20.8947,-156.47,68.41,73,75,13.8
155,garowe,so,8.4054,48.4845,74.05,50,9,15.28
156,lompoc,us,34.6391,-120.4579,66.61,45,0,2.15
157,ayame,ci,5.6083,-3.1563,78.35,79,61,5.99
158,saint-francois,gp,16.2526,-61.2741,84.2,61,40,12.66
159,odessa,us,31.8457,-102.3676,68.7,27,1,18.41
160,esperance,au,-33.8667,121.9,60.8,82,0,14.97
161,tuktoyaktuk,ca,69.4541,-133.0374,-4.0,77,75,12.66
162,havre-saint-pierre,ca,50.2334,-63.5986,26.6,86,90,17.27
163,sambava,mg,-14.2667,50.1667,78.62,83,95,4.5
164,tuatapere,nz,-46.1333,167.6833,48.99,85,100,1.99
165,maracaibo,ve,10.6317,-71.6406,87.06,47,50,7.83
166,yumen,cn,40.2833,97.2,15.82,77,0,21.92
167,waipawa,nz,-41.4122,175.5153,62.67,72,0,25.32
168,chimbote,pe,-9.0853,-78.5783,75.09,68,100,10.27
169,biabou,vc,13.2,-61.1333,82.4,74,75,10.36
170,anahuac,mx,27.2333,-100.15,73.4,49,1,9.22
171,kaitangata,nz,-46.2817,169.8464,54.0,71,100,7.0
172,hell,no,63.4455,10.9033,14.0,92,0,2.3
173,shingu,jp,33.7333,135.9833,39.27,74,18,13.11
174,isla aguada,mx,18.7833,-91.4667,71.6,64,90,9.22
175,kasongo,cd,-4.45,26.6667,68.07,98,100,0.49
176,praia,cv,14.9215,-23.5087,73.4,68,100,19.57
177,komsomolskiy,ru,43.9783,46.6985,30.94,91,100,11.77
178,salalah,om,17.0151,54.0924,69.8,49,0,5.75
179,villa corzo,mx,16.1667,-93.25,77.0,57,90,10.36
180,hasaki,jp,35.7333,140.8333,35.91,75,20,3.44
181,ixtapa,mx,20.7,-105.2,75.2,60,40,4.61
182,traralgon,au,-38.1833,146.5333,54.0,75,90,4.0
183,pampas,pe,-12.4,-74.9,49.82,79,100,3.94
184,kathu,th,7.9178,98.3332,77.0,69,20,6.91
185,paita,pe,-5.0892,-81.1144,86.0,54,20,10.36
186,padang,id,-0.9492,100.3543,75.2,94,75,2.3
187,bengkulu,id,-3.8004,102.2655,74.64,88,83,6.42
188,port hedland,au,-20.3167,118.5667,89.6,48,75,12.66
189,faanui,pf,-16.4833,-151.75,81.16,75,0,15.86
190,rumphi,mw,-11.0186,33.8575,67.86,87,100,2.59
191,le pradet,fr,43.1066,6.0172,43.84,70,0,6.91
192,stromness,gb,58.965,-3.296,39.2,81,40,12.66
193,palmer,us,42.1584,-72.3287,41.49,60,90,16.11
194,hambantota,lk,6.1241,81.1185,75.2,100,75,2.3
195,bredasdorp,za,-34.5322,20.0403,68.0,73,1,11.5
196,coihaique,cl,-45.5752,-72.0662,62.6,72,75,2.3
197,saint-pierre,pm,46.7654,-56.1695,39.11,93,75,18.41
198,krasnoselkup,ru,65.7,82.4667,-13.4,90,98,1.43
199,namibe,ao,-15.1961,12.1522,73.35,76,74,11.63
200,schwechat,at,48.1333,16.4667,32.94,93,40,4.61
201,strezhevoy,ru,60.7333,77.5889,-22.0,83,20,4.47
202,saskylakh,ru,71.9167,114.0833,-33.47,83,100,5.32
203,aykhal,ru,66.0,111.5,-48.23,75,21,4.03
204,kamennomostskoye,ru,43.7372,43.0514,26.29,100,90,2.24
205,hobyo,so,5.3505,48.5268,77.23,72,55,18.61
206,mar del plata,ar,-38.0023,-57.5575,86.0,35,0,14.97
207,pangnirtung,ca,66.1451,-65.7125,12.2,62,90,12.66
208,tete,mz,-16.1564,33.5867,75.09,100,75,3.4
209,tongren,cn,27.7172,109.1853,43.07,65,0,0.56
210,kalianget,id,-7.05,113.9333,76.53,90,100,13.89
211,saint andrews,ca,45.0845,-67.0617,33.17,64,100,10.36
212,ranfurly,nz,-45.1333,170.1,54.0,89,0,11.43
213,ketchikan,us,55.3422,-131.6461,44.6,93,90,10.36
214,yuxia,cn,34.0615,108.6291,28.94,63,0,4.47
215,prestea,gh,5.4327,-2.1428,77.81,86,98,5.35
216,mae hong son,th,19.3003,97.9685,60.98,72,6,1.95
217,leningradskiy,ru,69.3833,178.4167,-24.5,83,99,8.63
218,olinda,br,-8.0089,-34.8553,80.6,65,40,11.5
219,zhob,pk,31.3411,69.4481,45.48,50,0,0.96
220,constitucion,mx,23.9912,-104.6749,66.2,11,1,9.22
221,pilar,ph,14.66,120.5653,77.97,65,20,8.05
222,ballina,au,-28.8667,153.5667,66.58,88,100,3.44
223,presidencia roque saenz pena,ar,-26.7852,-60.4388,88.0,27,0,3.0
224,victor harbor,au,-35.5667,138.6167,57.33,96,100,5.01
225,soyo,ao,-6.1349,12.3689,79.77,77,4,11.3
226,chokurdakh,ru,70.6333,147.9167,-32.87,85,0,1.45
227,pacific grove,us,36.6177,-121.9166,69.06,24,1,13.8
228,severo-kurilsk,ru,50.6789,156.125,19.31,92,87,34.52
229,nerchinskiy zavod,ru,51.3088,119.61,-25.69,84,100,3.91
230,pandharpur,in,17.6667,75.3333,79.36,42,28,8.1
231,katherine,au,-14.4667,132.2667,82.4,61,75,8.05
232,broken hill,au,-31.95,141.4333,62.6,55,0,14.97
233,ilulissat,gl,69.2167,-51.1,12.2,57,40,1.14
234,leninsk,ru,48.7119,45.1994,10.2,85,90,6.71
235,richards bay,za,-28.783,32.0377,73.06,79,98,4.5
236,jizan,sa,17.3333,42.6667,80.6,74,20,10.36
237,luanda,ao,-8.8368,13.2343,78.8,78,0,13.8
238,saint-louis,sn,16.3333,-15.0,82.4,28,100,2.3
239,cayenne,gf,4.9333,-52.3333,84.2,70,75,13.8
240,souillac,mu,-20.5167,57.5167,78.8,100,75,10.36
241,lyngdal,no,58.1376,7.07,35.46,87,57,1.99
242,tasiilaq,gl,65.6145,-37.6368,19.4,53,28,3.44
243,awjilah,ly,29.1081,21.2869,52.48,49,58,8.21
244,san cristobal,ec,-0.9045,-89.6174,82.4,83,75,6.91
245,menongue,ao,-14.6585,17.691,65.86,60,100,4.29
246,mahebourg,mu,-20.4081,57.7,78.8,100,75,10.36
247,nikel,ru,69.4128,30.222,23.0,93,40,3.44
248,puerto escondido,mx,15.85,-97.0667,84.2,65,1,6.91
249,vestmannaeyjar,is,63.4427,-20.2734,35.6,80,20,26.46
250,great yarmouth,gb,52.6083,1.7305,41.0,93,75,10.36
251,jaciara,br,-15.9653,-54.9683,82.51,76,100,5.06
252,san vicente,ph,15.2955,120.6465,75.2,73,90,4.61
253,denpasar,id,-8.65,115.2167,77.0,94,75,2.3
254,kirakira,sb,-10.4544,161.9205,80.62,78,82,5.26
255,carnarvon,au,-24.8667,113.6333,80.6,94,0,6.91
256,lichinga,mz,-13.3128,35.2406,68.0,94,90,6.91
257,megion,ru,61.0296,76.1136,-22.0,83,20,4.47
258,ancud,cl,-41.8697,-73.8203,71.6,64,40,8.05
259,tevriz,ru,57.509,72.4042,-10.48,90,56,5.75
260,gillette,us,44.2911,-105.5022,28.94,69,90,23.02
261,tukrah,ly,32.5341,20.5791,58.3,66,55,19.04
262,agirish,ru,61.9247,63.0231,-19.08,86,36,5.7
263,prado,br,-17.3411,-39.2208,81.57,68,0,8.93
264,biu,ng,10.6129,12.1946,74.03,20,36,14.97
265,tecoanapa,mx,16.5167,-98.75,82.8,59,14,9.73
266,palu,id,-0.8917,119.8707,77.32,69,100,2.26
267,mkushi,zm,-13.6202,29.3939,67.53,91,100,2.89
268,pafos,cy,34.7667,32.4167,49.15,82,75,6.91
269,quatre cocos,mu,-20.2078,57.7625,79.41,100,75,10.36
270,viet tri,vn,21.3019,105.4308,51.8,82,0,5.75
271,mount gambier,au,-37.8333,140.7667,55.4,82,90,9.22
272,kamenka,ru,51.3223,42.7678,6.01,89,100,2.8
273,sayyan,ye,15.1718,44.3244,47.55,45,0,4.41
